preference,trait,time
0.04986,0.007,1
0.04972,0.014,2
0.04958,0.021,3
0.04944,0.028,4
0.0493,0.035,5
0.04916,0.042,6
0.04902,0.049,7
0.04888,0.056,8
0.04874,0.063,9
0.0486,0.07,10
0.04846,0.077,11
0.04832,0.084,12
0.04818,0.091,13
0.04804,0.098,14
0.0479,0.105,15
0.04776,0.112,16
0.04762,0.119,17
0.04748,0.126,18
0.04734,0.133,19
0.0472,0.14,20
0.04706,0.147,21
0.04692,0.154,22
0.04678,0.161,23
0.04664,0.168,24
0.0465,0.175,25
0.04636,0.182,26
0.04622,0.189,27
0.04608,0.196,28
0.04594,0.203,29
0.0458,0.21,30
0.04566,0.217,31
0.04552,0.224,32
0.04538,0.231,33
0.04524,0.238,34
0.0451,0.245,35
0.04496,0.252,36
0.04482,0.259,37
0.04468,0.266,38
0.04454,0.273,39
0.0444,0.28,40
0.04426,0.287,41
0.04412,0.294,42
0.04398,0.301,43
0.04384,0.308,44
0.0437,0.315,45
0.04356,0.322,46
0.04342,0.329,47
0.04328,0.336,48
0.04314,0.343,49
0.043,0.35,50
0.04286,0.357,51
0.04272,0.364,52
0.04258,0.371,53
0.04244,0.378,54
0.0423,0.385,55
0.04216,0.392,56
0.04202,0.399,57
0.04188,0.406,58
0.04174,0.413,59
0.0416,0.42,60
0.04146,0.427,61
0.04132,0.434,62
0.04118,0.441,63
0.04104,0.448,64
0.0409,0.455,65
0.04076,0.462,66
0.04062,0.469,67
0.04048,0.476,68
0.04034,0.483,69
0.0402,0.49,70
0.04006,0.497,71
0.03992,0.504,72
0.03978,0.511,73
0.03964,0.518,74
0.0395,0.525,75
0.03936,0.532,76
0.03922,0.539,77
0.03908,0.546,78
0.03894,0.553,79
0.0388,0.56,80
0.03866,0.567,81
0.03852,0.574,82
0.03838,0.581,83
0.03824,0.588,84
0.0381,0.595,85
0.03796,0.602,86
0.03782,0.609,87
0.03768,0.616,88
0.03754,0.623,89
0.0374,0.63,90
0.03726,0.637,91
0.03712,0.644,92
0.03698,0.651,93
0.03684,0.658,94
0.0367,0.665,95
0.03656,0.672,96
0.03642,0.679,97
0.03628,0.686,98
0.03614,0.693,99
0.036,0.7,100
0.03586,0.707,101
0.03572,0.714,102
